"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2011","644.9144","658.8600","666.4200","613.3800","","-1.99%"
"11/01/2011","658.0235","647.0900","674.1000","627.9600","","1.55%"
"10/01/2011","647.9552","587.5900","659.8600","572.9200","","9.64%"
"09/01/2011","590.9992","675.5000","676.6100","583.6800","","-12.40%"
"08/01/2011","674.6877","693.3000","700.1400","614.5795","","-1.66%"
"07/01/2011","686.0772","663.7800","704.7000","656.4900","","2.58%"
"06/01/2011","668.8452","708.9100","712.2300","635.2700","","-5.43%"
"05/01/2011","707.2557","755.8400","761.6600","658.9300","","-6.79%"
"04/01/2011","758.7948","727.7500","762.2200","724.2700","","4.57%"
"03/01/2011","725.6232","691.6300","731.7200","668.4700","","5.03%"
"02/01/2011","690.8462","654.3900","709.1600","639.9800","","5.43%"
"01/01/2011","655.2648","635.1100","657.6200","611.8100","","3.71%"
"12/01/2010","631.8311","577.0500","633.7700","575.4200","","9.72%"
"11/01/2010","575.8382","567.3570","610.1700","543.9300","","2.07%"
"10/01/2010","564.1603","547.3880","577.9490","544.9090","","3.31%"
"09/01/2010","546.0645","500.0750","547.0090","499.2230","","9.40%"
"08/01/2010","499.1622","528.8650","546.7920","489.6890","","-4.89%"
"07/01/2010","524.8087","489.3990","524.8090","478.8430","","5.98%"
"06/01/2010","495.1775","482.4900","520.2440","469.8470","","1.43%"
"05/01/2010","488.1933","549.2900","555.7290","458.5630","","-11.23%"
"04/01/2010","549.9413","534.7640","555.1960","531.3040","","3.73%"
"03/01/2010","530.1587","522.1340","532.8500","510.1540","","2.45%"
"02/01/2010","517.4835","486.6000","524.5930","468.4350","","6.45%"
"01/01/2010","486.1450","533.5309","550.3790","484.1040","","-7.33%"
"12/01/2009","524.6207","515.6590","529.4600","484.5270","","2.35%"
"11/01/2009","512.5737","500.3280","526.4310","490.2290","","3.17%"
"10/01/2009","496.8077","460.6300","528.4300","447.7110","","7.36%"
"09/01/2009","462.7484","456.4180","476.5510","435.4270","","1.97%"
"08/01/2009","453.7870","463.8600","481.2170","445.2200","","-0.79%"
"07/01/2009","457.4070","454.7050","460.6700","398.3670","","1.60%"
"06/01/2009","450.2168","450.8100","480.1940","425.5340","","1.62%"
"05/01/2009","443.0531","364.5590","444.4980","363.5670","","21.10%"
"04/01/2009","365.8484","353.2090","382.7770","347.2380","","2.04%"
"03/01/2009","358.5256","329.6860","383.5790","312.5740","","6.63%"
"02/01/2009","336.2400","332.9540","353.9580","305.5850","","0.01%"
"01/01/2009","336.2046","338.3540","383.8440","325.8730","","-3.68%"
"12/01/2008","349.0380","382.1890","382.3420","307.8400","","-10.65%"
"11/01/2008","390.6464","447.6640","475.1120","362.9470","","-13.09%"
"10/01/2008","449.4610","622.2370","634.3520","413.3730","","-27.77%"
"09/01/2008","622.2371","663.9940","681.6360","588.4800","","-12.13%"
"08/01/2008","708.1559","754.2859","779.1860","689.2350","","-6.85%"
"07/01/2008","760.1992","869.7079","893.8589","744.0090","","-11.89%"
"06/01/2008","862.8090","781.7900","882.8130","764.8770","","9.69%"
"05/01/2008","786.5829","725.3199","828.3220","701.1050","","9.09%"
"04/01/2008","721.0670","661.5880","750.6210","655.6960","","7.80%"
"03/01/2008","668.9130","681.0820","722.6490","649.3210","","-1.60%"
"02/01/2008","679.7780","606.8040","686.3979","590.5680","","11.74%"
"01/01/2008","608.3780","614.0460","635.6379","575.8320","","-0.29%"
"12/01/2007","610.1689","576.1960","618.9709","565.2990","","5.57%"
"11/01/2007","577.9870","603.4000","623.6299","577.0460","","-3.56%"
"10/01/2007","599.3100","547.9720","600.3140","526.3560","","9.74%"
"09/01/2007","546.1330","496.8870","555.0670","492.8950","","10.26%"
"08/01/2007","495.3045","514.5959","517.7079","472.4000","","-4.00%"
"07/01/2007","515.9410","490.1610","517.2629","485.0750","","5.48%"
"06/01/2007","489.1520","467.5860","499.1090","465.3770","","3.93%"
"05/01/2007","470.6480","470.9727","484.0420","454.8400","","-0.80%"
"04/01/2007","474.4641","467.1642","477.8383","459.3198","","1.36%"
"03/01/2007","468.1150","448.5116","468.1502","436.4039","","4.38%"
"02/01/2007","448.4914","422.5295","450.9571","422.5295","","4.98%"
"01/01/2007","427.2178","432.1335","432.1335","392.6523","","-1.48%"
"12/01/2006","433.6465","462.4187","462.4187","431.0525","","-6.47%"
"11/01/2006","463.6554","429.5622","463.6554","428.2353","","8.02%"
"10/01/2006","429.2243","420.1734","447.0071","409.6788","","0.27%"
"09/01/2006","428.0533","459.0111","459.0111","418.0165","","-8.12%"
"08/01/2006","465.8680","498.4193","506.7766","464.2655","","-6.50%"
"07/01/2006","498.2476","485.4300","509.6343","482.0140","","2.80%"
"06/01/2006","484.6753","471.2759","484.6753","459.9281","","2.13%"
"05/01/2006","474.5546","484.0205","500.5345","464.9891","","-0.05%"
"04/01/2006","474.7863","445.1778","496.1841","441.2490","","7.29%"
"03/01/2006","442.5190","418.3736","447.3778","410.9630","","6.41%"
"02/01/2006","415.8627","445.3492","445.3492","405.4679","","-8.38%"
"01/01/2006","453.9183","438.1793","456.6674","432.1028","","5.14%"
"12/01/2005","431.7214","425.4086","457.5468","417.0102","","3.80%"
"11/01/2005","415.9086","421.0456","427.8506","407.7445","","-1.65%"
"10/01/2005","422.8764","466.9965","466.9965","422.8764","","-9.94%"
"09/01/2005","469.5595","475.2529","475.2529","435.3258","","0.95%"
"08/01/2005","465.1507","408.7134","467.5680","406.9561","","15.71%"
"07/01/2005","401.9990","390.7274","408.2864","383.4584","","5.85%"
"06/01/2005","379.7879","368.9709","399.0615","366.1164","","7.02%"
"05/01/2005","354.8881","357.1423","361.4620","341.0289","","0.34%"
"04/01/2005","353.6854","391.5963","391.5963","353.6854","","-7.80%"
"03/01/2005","383.6221","355.0824","385.2551","355.0824","","7.80%"
"02/01/2005","355.8531","326.8229","355.8531","315.6633","","7.35%"
"01/01/2005","331.4828","304.1925","338.1748","304.1925","","6.77%"
"12/01/2004","310.4673","326.5933","332.5043","303.2428","","-9.35%"
"11/01/2004","342.5017","346.9508","350.2470","330.5201","","-3.59%"
"10/01/2004","355.2492","339.3015","373.2011","337.2008","","5.19%"
"09/01/2004","337.7328","303.7866","337.7328","296.3365","","14.26%"
"08/01/2004","295.5954","305.9600","322.0625","295.5954","","-3.86%"
"07/01/2004","307.4776","294.2479","307.4776","293.2093","","7.38%"
"06/01/2004","286.3553","315.6003","315.6003","280.3381","","-5.00%"
"05/01/2004","301.4126","294.9385","310.8826","294.9385","","4.11%"
"04/01/2004","289.5122","276.7797","290.1607","275.0795","","2.62%"
"03/01/2004","282.1227","282.9823","286.8468","272.1516","","1.24%"
"02/01/2004","278.6556","266.5418","278.6556","256.6276","","7.14%"
"01/01/2004","260.0880","261.6553","276.3313","259.6715","","-0.17%"
"12/01/2003","260.5434","246.9491","271.6895","246.9491","","6.00%"
"11/01/2003","245.8032","235.6278","256.2180","234.9616","","3.07%"
"10/01/2003","238.4895","233.2744","252.9424","233.2744","","2.52%"
"09/01/2003","232.6344","232.1754","234.7582","221.3021","","-4.05%"
"08/01/2003","242.4590","241.8148","245.9133","237.8994","","3.99%"
"07/01/2003","233.1563","233.8183","237.8759","227.5195","","-0.02%"
"06/01/2003","233.2028","240.6407","242.8608","227.7912","","-0.87%"
"05/01/2003","235.2415","215.9180","235.2415","213.9411","","9.09%"
"04/01/2003","215.6376","227.3601","230.1770","212.5866","","-7.16%"
"03/01/2003","232.2788","271.0940","276.1538","218.5813","","-16.62%"
"02/01/2003","278.5720","251.4533","278.5720","251.4533","","9.91%"
"01/01/2003","253.4514","240.8537","254.1480","235.7204","","7.78%"
"12/01/2002","235.1541","220.1022","243.7579","216.6020","","8.11%"
"11/01/2002","217.5085","217.1124","218.4081","204.5763","","0.04%"
"10/01/2002","217.4230","229.1161","229.1161","215.4259","","-4.44%"
"09/01/2002","227.5257","209.6962","228.5812","209.6962","","5.71%"
"08/01/2002","215.2304","200.2870","217.1401","199.1665","","5.81%"
"07/01/2002","203.4048","203.8104","207.3289","198.9574","","0.31%"
"06/01/2002","202.7765","193.9817","202.7765","190.0010","","4.37%"
"05/01/2002","194.2879","201.4025","210.3676","191.3539","","-4.87%"
